datum,temperatura,leto,mesec
2019-11-01,5.5,2019,11
2019-11-02,8.8,2019,11
2019-11-03,12.7,2019,11
2019-11-04,12.6,2019,11
2019-11-05,12.2,2019,11
2019-11-06,9.7,2019,11
2019-11-07,8.2,2019,11
2019-11-08,7.0,2019,11
2019-11-09,8.4,2019,11
2019-11-10,6.7,2019,11
2019-11-11,5.7,2019,11
2019-11-12,7.3,2019,11
2019-11-13,7.0,2019,11
2019-11-14,6.6,2019,11
2019-11-15,8.3,2019,11
2019-11-16,9.2,2019,11
2019-11-17,10.6,2019,11
2019-11-18,8.9,2019,11
2019-11-19,8.3,2019,11
2019-11-20,7.3,2019,11
2019-11-21,8.5,2019,11
2019-11-22,7.1,2019,11
2019-11-23,8.3,2019,11
2019-11-24,8.4,2019,11
2019-11-25,7.0,2019,11
2019-11-26,6.9,2019,11
2019-11-27,8.4,2019,11
2019-11-28,8.9,2019,11
2019-11-29,7.8,2019,11
2019-11-30,4.2,2019,11
